"","ENSEMBL","SYMBOL","Cov1","Cov2","Cov3","Mock1","Mock2","Mock3"
"5356","ENSG00000123575","9_FAM199X",791,1044,670,2078,669,1829
"5357","ENSG00000123576","5_ESX1",5,0,0,1,0,3
"5358","ENSG00000123584","7_MAGEA9",0,0,0,0,0,0
"5359","ENSG00000123594","5_ATXN3L",3,0,0,5,2,3
"5360","ENSG00000123595","8_RAB9A",814,887,798,2306,3639,1855
"5361","ENSG00000123600","19_METTL8",309,370,229,919,1046,1002
"5362","ENSG00000123607","15_TTC21B",411,364,373,1099,275,1391
"5363","ENSG00000123609","11_NMI",79,154,40,118,218,115
"5364","ENSG00000123610","5_TNFAIP6",733,984,596,486,1168,439
"5365","ENSG00000123612","16_ACVR1C",59,74,52,30,7,18
"5366","ENSG00000123636","18_BAZ2B",2531,2457,2120,3717,2270,4226
"5367","ENSG00000123643","13_SLC36A1",449,399,445,687,242,943
"5368","ENSG00000123684","13_LPGAT1",802,1062,718,1855,721,2140
"5369","ENSG00000123685","9_BATF3",28,23,14,15,40,13
"5370","ENSG00000123689","6_G0S2",775,745,780,11109,27291,10667
"5371","ENSG00000123700","5_KCNJ2",26,69,30,156,263,139
"5372","ENSG00000123728","10_RAP2C",853,719,532,766,770,1035
"5373","ENSG00000123737","12_EXOSC9",507,458,371,1443,1896,1596
"5374","ENSG00000123739","11_PLA2G12A",660,626,563,2598,3005,2836
"5375","ENSG00000123810","8_B9D2",76,51,48,221,521,230
"5376","ENSG00000123815","12_COQ8B",293,183,263,1169,1268,1388
"5377","ENSG00000123836","15_PFKFB2",201,254,304,599,169,700
"5378","ENSG00000123838","11_C4BPA",3,2,1,23,3,12
"5379","ENSG00000123843","13_C4BPB",4,18,9,27,8,21
"5380","ENSG00000123892","12_RAB38",25,57,24,45,109,90
"5381","ENSG00000123901","9_GPR83",44,32,18,24,5,14
"5382","ENSG00000123908","12_AGO2",1327,1252,924,845,974,1144
"5383","ENSG00000123933","17_MXD4",2772,2312,2349,5976,8646,7164
"5384","ENSG00000123975","5_CKS2",492,522,482,1589,4638,1607
"5385","ENSG00000123977","10_DAW1",48,79,80,113,120,193
"5386","ENSG00000123983","14_ACSL3",3661,3847,2853,6778,3215,8030
"5387","ENSG00000123989","14_CHPF",9889,7588,6770,13962,16453,24168
"5388","ENSG00000123992","19_DNPEP",882,1043,640,2898,4199,3285
"5389","ENSG00000123999","5_INHA",70,63,49,223,402,224
"5390","ENSG00000124003","13_MOGAT1",0,0,0,1,3,0
"5391","ENSG00000124006","15_OBSL1",729,680,810,3248,3243,4043
"5392","ENSG00000124019","10_FAM124B",10,17,4,6,9,1
"5393","ENSG00000124067","17_SLC12A4",7276,5814,5927,7520,2697,10247
"5394","ENSG00000124074","12_ENKD1",127,131,119,367,612,453
"5395","ENSG00000124089","4_MC3R",1,0,0,1,1,0
"5396","ENSG00000124091","9_GCNT7",6,6,1,10,0,7
"5397","ENSG00000124092","12_CTCFL",6,17,13,26,29,12
"5398","ENSG00000124098","10_FAM210B",1391,1035,1170,3554,3783,4487
"5399","ENSG00000124102","5_PI3",0,0,3,2,2,1
"5400","ENSG00000124103","9_FAM209A",0,16,3,2,11,4
"5401","ENSG00000124104","19_SNX21",459,473,325,1402,2027,1835
"5402","ENSG00000124107","5_SLPI",8,8,56,18,67,23
"5403","ENSG00000124116","19_WFDC3",19,7,13,55,121,44
"5404","ENSG00000124120","11_TTPAL",566,460,440,1435,728,1746
"5405","ENSG00000124126","14_PREX1",415,242,506,301,269,635
"5406","ENSG00000124134","9_KCNS1",31,53,28,7,4,19
"5407","ENSG00000124140","13_SLC12A5",19,15,8,85,199,88
"5408","ENSG00000124143","10_ARHGAP40",1,3,5,0,2,2
"5409","ENSG00000124145","6_SDC4",1537,1667,987,3303,3294,4034
"5410","ENSG00000124151","19_NCOA3",1975,2264,2228,3829,529,3841
"5411","ENSG00000124155","18_PIGT",3756,3852,2935,8963,12717,11620
"5412","ENSG00000124157","7_SEMG2",0,0,0,2,0,0
"5413","ENSG00000124159","15_MATN4",4,9,5,8,8,7
"5414","ENSG00000124160","12_NCOA5",882,945,748,1771,962,2277
"5415","ENSG00000124164","16_VAPB",1363,1231,997,2782,1849,3266
"5416","ENSG00000124171","9_PARD6B",178,153,183,453,497,333
"5417","ENSG00000124172","10_ATP5F1E",3867,3178,3010,15141,45612,13704
"5418","ENSG00000124177","15_CHD6",595,652,723,1518,1447,1699
"5419","ENSG00000124181","14_PLCG1",2457,1405,2285,3823,417,4520
"5420","ENSG00000124191","18_TOX2",69,83,73,40,32,62
"5421","ENSG00000124193","16_SRSF6",1743,1780,1656,5870,4875,6082
"5422","ENSG00000124194","16_GDAP1L1",3,2,5,15,58,6
"5423","ENSG00000124196","6_GTSF1L",0,1,4,10,1,1
"5424","ENSG00000124198","9_ARFGEF2",1772,2050,1999,3317,1116,3936
"5425","ENSG00000124201","15_ZNFX1",3010,4374,2148,2413,908,3427
"5426","ENSG00000124203","6_ZNF831",1,8,6,6,32,11
"5427","ENSG00000124205","18_EDN3",6,1,1,24,6,10
"5428","ENSG00000124207","17_CSE1L",2759,2906,1934,8798,4546,9331
"5429","ENSG00000124208","16_TMEM189-UBE2V1",682,754,391,1745,1334,1354
"5430","ENSG00000124209","4_RAB22A",1425,1550,1152,2273,2389,2174
"5431","ENSG00000124212","6_PTGIS",15904,14090,11601,7623,5651,10264
"5432","ENSG00000124214","19_STAU1",3859,3522,3017,6893,4695,8063
"5433","ENSG00000124215","17_CDH26",3,3,4,34,12,12
"5434","ENSG00000124216","4_SNAI1",401,346,259,59,101,44
"5435","ENSG00000124217","5_MOCS3",127,192,109,518,678,518
"5436","ENSG00000124222","22_STX16",683,755,479,2314,901,2371
"5437","ENSG00000124225","16_PMEPA1",1289,850,901,1626,3184,2112
"5438","ENSG00000124226","11_RNF114",1879,2280,1366,3309,3387,4251
"5439","ENSG00000124227","5_ANKRD60",0,0,1,0,0,2
"5440","ENSG00000124228","14_DDX27",1138,1079,854,2109,1567,2371
"5441","ENSG00000124232","11_RBPJL",0,1,8,5,2,0
"5442","ENSG00000124233","12_SEMG1",0,0,0,20,0,0
"5443","ENSG00000124237","6_C20orf85",0,0,1,1,0,0
"5444","ENSG00000124243","17_BCAS4",181,147,124,288,526,302
"5445","ENSG00000124249","7_KCNK15",52,45,27,53,156,130
"5446","ENSG00000124251","11_TP53TG5",3,4,6,10,7,8
"5447","ENSG00000124253","11_PCK1",62,27,22,3,2,2
"5448","ENSG00000124256","15_ZBP1",10,11,12,11,4,14
"5449","ENSG00000124257","6_NEURL2",84,52,82,290,786,376
"5450","ENSG00000124260","12_MAGEA10",5,1,0,3,6,6
"5451","ENSG00000124275","15_MTRR",987,1003,720,2129,1074,1808
"5452","ENSG00000124279","12_FASTKD3",153,173,109,498,642,615
"5453","ENSG00000124299","15_PEPD",2054,1708,1589,4226,5171,4781
"5454","ENSG00000124302","13_CHST8",12,6,13,7,5,4
"5455","ENSG00000124313","16_IQSEC2",50,88,45,214,621,254
"5456","ENSG00000124333","16_VAMP7",790,782,620,2108,1472,2040
"5458","ENSG00000124334","17_IL9R",4,0,0,0,4,1
"5460","ENSG00000124343","13_XG",5,2,0,7,2,0
"5461","ENSG00000124356","16_STAMBP",631,708,506,2013,2182,1967
"5462","ENSG00000124357","13_NAGK",1143,957,839,2648,3825,2925
"5463","ENSG00000124370","11_MCEE",254,212,210,920,2270,1038
"5464","ENSG00000124374","9_PAIP2B",161,68,67,563,416,553
"5465","ENSG00000124380","11_SNRNP27",1033,1006,862,2856,5652,2630
"5466","ENSG00000124383","9_MPHOSPH10",805,824,477,2782,2734,2358
"5467","ENSG00000124391","5_IL17C",1,1,0,0,1,2
"5468","ENSG00000124406","16_ATP8A1",328,317,308,951,149,957
"5469","ENSG00000124422","12_USP22",2051,1410,2013,5437,3564,7254
"5470","ENSG00000124429","18_POF1B",5,12,10,44,46,26
"5471","ENSG00000124440","15_HIF3A",429,337,275,2443,2242,2201
"5472","ENSG00000124444","16_ZNF576",167,186,170,691,1147,638
"5473","ENSG00000124449","7_IRGC",0,2,1,1,1,6
"5474","ENSG00000124459","12_ZNF45",364,405,351,1417,205,1110
"5475","ENSG00000124466","9_LYPD3",12,10,14,27,51,41
"5476","ENSG00000124467","19_PSG8",3,1,4,8,10,2
"5477","ENSG00000124469","12_CEACAM8",3,0,4,15,8,16
"5478","ENSG00000124479","11_NDP",8,9,23,23,5,49
"5479","ENSG00000124486","13_USP9X",5139,4708,4379,6417,1888,9543
"5480","ENSG00000124490","14_CRISP2",0,1,1,1,1,0
"5481","ENSG00000124491","16_F13A1",1,5,0,3,1,1
"5482","ENSG00000124493","14_GRM4",3,10,14,16,15,16
"5483","ENSG00000124496","12_TRERF1",113,148,251,244,82,222
"5484","ENSG00000124507","11_PACSIN1",33,64,64,204,67,283
"5485","ENSG00000124508","17_BTN2A2",707,688,548,1201,659,1355
"5486","ENSG00000124523","16_SIRT5",285,247,229,1226,1413,1384
"5487","ENSG00000124532","14_MRS2",684,753,684,3596,2212,3047
"5488","ENSG00000124535","16_WRNIP1",2190,1707,1582,3162,2279,3744
"5489","ENSG00000124541","7_RRP36",1026,1037,830,2757,5182,2956
"5490","ENSG00000124557","12_BTN1A1",11,17,4,24,10,10
"5491","ENSG00000124562","10_SNRPC",1561,1406,1215,6027,17334,5778
"5492","ENSG00000124564","17_SLC17A3",2,2,0,3,0,1
"5493","ENSG00000124568","12_SLC17A1",2,0,0,7,0,8
"5494","ENSG00000124570","20_SERPINB6",3061,2619,2178,5349,7938,6088
"5495","ENSG00000124571","18_XPO5",1352,1052,1326,2708,770,2977
"5496","ENSG00000124574","15_ABCC10",783,638,760,1003,410,1298
"5497","ENSG00000124575","6_H1-3",2,8,6,35,68,23
"5498","ENSG00000124587","14_PEX6",126,149,131,326,263,433
"5499","ENSG00000124588","20_NQO2",461,494,416,1387,2920,1549
"5500","ENSG00000124593","16_AL365205",138,124,117,381,397,601
"5501","ENSG00000124596","17_OARD1",281,382,265,1336,2148,1293
"5502","ENSG00000124602","10_UNC5CL",45,38,26,87,68,139
"5503","ENSG00000124608","5_AARS2",408,334,316,788,296,882
"5504","ENSG00000124610","4_H1-1",0,0,0,0,0,2
"5505","ENSG00000124613","8_ZNF391",59,70,84,181,66,281
"5506","ENSG00000124614","16_RPS10",2786,2234,2532,5822,16672,5706
