"","ENSEMBL","SYMBOL","Cov1","Cov2","Cov3","Mock1","Mock2","Mock3"
"1","ENSG00000000003","15_TSPAN6",1270,1013,848,4571,5500,4844
"2","ENSG00000000005","6_TNMD",121,125,49,3220,6435,2977
"3","ENSG00000000419","12_DPM1",1023,1045,674,2404,4794,1819
"4","ENSG00000000457","14_SCYL3",1049,713,692,854,356,1015
"5","ENSG00000000460","17_C1orf112",211,158,90,576,195,477
"6","ENSG00000000938","13_FGR",9,8,2,10,5,0
"7","ENSG00000000971","16_CFH",9605,10002,5705,10421,5633,15557
"8","ENSG00000001036","14_FUCA2",2133,2248,1555,3369,4120,4324
"9","ENSG00000001084","13_GCLC",676,615,634,1696,502,1867
"10","ENSG00000001167","14_NFYA",467,517,371,1181,344,1562
"11","ENSG00000001460","18_STPG1",197,226,189,587,508,694
"12","ENSG00000001461","17_NIPAL3",1140,1202,1106,3675,1429,4668
"13","ENSG00000001497","16_LAS1L",672,661,443,1734,876,2261
"14","ENSG00000001561","7_ENPP4",332,433,392,2381,839,1986
"15","ENSG00000001617","12_SEMA3F",173,134,126,86,131,242
"16","ENSG00000001626","16_CFTR",5,17,10,34,24,29
"17","ENSG00000001629","10_ANKIB1",974,1244,1139,2197,1089,2701
"18","ENSG00000001630","17_CYP51A1",1990,2166,1850,3962,2296,4507
"19","ENSG00000001631","15_KRIT1",453,243,212,1364,738,1337
"20","ENSG00000002016","18_RAD52",183,179,142,360,196,366
"21","ENSG00000002330","13_BAD",1613,1458,1163,5614,13961,5468
"22","ENSG00000002549","12_LAP3",1346,3075,815,2741,2662,3062
"23","ENSG00000002586","20_CD99",3318,2928,2108,4784,10551,6252
"25","ENSG00000002587","10_HS3ST1",50,42,31,47,76,53
"26","ENSG00000002726","20_AOC1",1,0,1,18,1,4
"27","ENSG00000002745","13_WNT16",0,8,5,3,0,0
"28","ENSG00000002746","15_HECW1",3,62,20,65,33,36
"29","ENSG00000002822","15_MAD1L1",1227,995,683,1872,1163,2380
"30","ENSG00000002834","18_LASP1",5722,3834,4943,6943,3368,9096
"31","ENSG00000002919","14_SNX11",729,673,525,1620,1483,1806
"32","ENSG00000002933","9_TMEM176A",819,666,660,2450,5469,2562
"33","ENSG00000003056","8_M6PR",3550,3731,2949,8386,6769,8996
"34","ENSG00000003096","14_KLHL13",449,366,277,1738,809,1831
"35","ENSG00000003137","8_CYP26B1",197,147,237,363,175,428
"36","ENSG00000003147","19_ICA1",251,215,219,2488,2860,2267
"37","ENSG00000003249","14_DBNDD1",370,339,456,1276,1479,1214
"38","ENSG00000003393","15_ALS2",2477,2441,2493,5636,776,5388
"39","ENSG00000003400","15_CASP10",76,62,32,68,71,41
"40","ENSG00000003402","20_CFLAR",468,604,310,453,565,532
"41","ENSG00000003436","16_TFPI",7812,7304,5592,3838,5453,4725
"42","ENSG00000003509","16_NDUFAF7",410,398,268,1205,1173,1450
"43","ENSG00000003756","17_RBM5",3577,3158,2454,8274,3592,8994
"44","ENSG00000003987","14_MTMR7",32,34,24,93,34,78
"45","ENSG00000003989","17_SLC7A2",179,201,161,314,130,319
"46","ENSG00000004059","11_ARF5",1530,1572,1287,4485,11359,5024
"47","ENSG00000004139","14_SARM1",168,110,161,643,285,796
"48","ENSG00000004142","12_POLDIP2",3752,3475,2988,8887,9615,9326
"49","ENSG00000004399","12_PLXND1",904,675,1148,706,520,1118
"50","ENSG00000004455","17_AK2",2951,2898,1970,8256,11343,8979
"51","ENSG00000004468","13_CD38",25,57,10,45,5,3
"52","ENSG00000004478","8_FKBP4",2765,2681,1970,4523,4069,5201
"53","ENSG00000004487","16_KDM1A",4040,3346,3031,9118,3237,10192
"54","ENSG00000004534","15_RBM6",1380,1423,979,3755,1836,4221
"55","ENSG00000004660","15_CAMKK1",349,236,288,414,243,651
"56","ENSG00000004700","16_RECQL",1948,2064,1412,3028,1238,3123
"57","ENSG00000004766","17_VPS50",391,373,270,2157,692,2046
"58","ENSG00000004776","13_HSPB6",110,62,51,185,322,175
"59","ENSG00000004777","18_ARHGAP33",13,7,29,160,291,190
"60","ENSG00000004779","10_NDUFAB1",1700,1435,1335,8735,22841,8049
"61","ENSG00000004799","8_PDK4",836,847,664,517,272,430
"62","ENSG00000004809","14_SLC22A16",4,1,3,9,1,12
"63","ENSG00000004838","14_ZMYND10",19,9,19,144,167,174
"64","ENSG00000004846","16_ABCB5",11,14,8,10,12,18
"65","ENSG00000004848","8_ARX",1,2,2,6,8,3
"66","ENSG00000004864","13_SLC25A13",1174,1088,802,2061,1107,2155
"67","ENSG00000004866","20_ST7",2991,3025,2256,3843,3524,4449
"68","ENSG00000004897","12_CDC27",2168,2062,1534,3637,4182,4257
"69","ENSG00000004939","15_SLC4A1",1,4,3,7,15,2
"70","ENSG00000004948","15_CALCR",25,12,25,12,2,12
"71","ENSG00000004961","15_HCCS",1190,1116,820,3022,2995,2620
"72","ENSG00000004975","12_DVL2",796,700,746,2474,1786,2480
"73","ENSG00000005001","10_PRSS22",0,2,2,0,0,0
"74","ENSG00000005007","12_UPF1",2496,1908,1736,3202,560,3600
"75","ENSG00000005020","13_SKAP2",384,319,286,504,627,538
"76","ENSG00000005022","6_SLC25A5",3867,3314,3384,13504,25978,12955
"77","ENSG00000005059","16_MCUB",352,389,324,264,624,365
"78","ENSG00000005073","6_HOXA11",0,7,12,18,3,3
"79","ENSG00000005075","15_POLR2J",533,499,496,1980,6586,1959
"80","ENSG00000005100","13_DHX33",94,107,81,216,371,185
"81","ENSG00000005102","14_MEOX1",0,9,2,1,5,13
"82","ENSG00000005108","16_THSD7A",60,38,51,269,87,231
"83","ENSG00000005156","12_LIG3",538,469,370,1164,346,1576
"84","ENSG00000005175","10_RPAP3",1709,1646,1233,3622,2688,3251
"85","ENSG00000005187","12_ACSM3",42,28,33,98,15,63
"86","ENSG00000005189","19_REXO5",77,91,40,946,492,1144
"87","ENSG00000005194","15_CIAPIN1",1930,2084,1481,6699,8485,6638
"88","ENSG00000005206","17_SPPL2B",693,583,573,1636,1604,1739
"89","ENSG00000005238","19_FAM214B",1479,1187,1292,1771,1474,2110
"90","ENSG00000005243","10_COPZ2",915,768,544,2220,6791,3147
"91","ENSG00000005249","13_PRKAR2B",229,412,282,3231,2283,3196
"92","ENSG00000005302","19_MSL3",684,785,655,1688,1150,1757
"93","ENSG00000005339","15_CREBBP",1331,1040,967,1673,1464,1748
"94","ENSG00000005379","17_TSPOAP1",110,71,65,441,117,554
"95","ENSG00000005381","8_MPO",3,0,0,2,7,1
"96","ENSG00000005421","9_PON1",8,8,5,7,3,34
"97","ENSG00000005436","14_GCFC2",294,286,214,973,1341,1090
"98","ENSG00000005448","17_WDR54",459,359,351,1013,2180,1381
"99","ENSG00000005469","11_CROT",317,300,301,1097,705,1052
"100","ENSG00000005471","17_ABCB4",51,62,30,311,76,206
"101","ENSG00000005483","21_KMT2E",3725,3271,2947,3536,4314,3630
"102","ENSG00000005486","17_RHBDD2",1923,1946,1673,5681,8656,6273
"103","ENSG00000005513","10_SOX8",36,4,19,41,4,24
"104","ENSG00000005700","15_IBTK",1448,2191,1260,3935,1359,4326
"105","ENSG00000005801","18_ZNF195",525,499,369,1137,1587,1396
"106","ENSG00000005810","18_MYCBP2",948,846,566,1632,1300,1695
"107","ENSG00000005812","11_FBXL3",1180,1359,890,2437,1092,2288
"108","ENSG00000005844","18_ITGAL",28,17,13,15,2,18
"109","ENSG00000005882","12_PDK2",986,936,879,6614,8772,7166
"110","ENSG00000005884","18_ITGA3",4982,4024,5491,5557,1937,7445
"111","ENSG00000005889","15_ZFX",1571,1384,1253,2354,1419,2708
"112","ENSG00000005893","16_LAMP2",5095,4765,4256,6935,6539,8504
"113","ENSG00000005961","19_ITGA2B",2,27,9,28,29,84
"114","ENSG00000005981","13_ASB4",1,9,4,56,16,29
"115","ENSG00000006007","12_GDE1",2163,2089,1829,5667,5925,5865
"116","ENSG00000006015","17_REX1BD",408,373,262,1326,4414,1739
"117","ENSG00000006016","11_CRLF1",67,31,40,21,15,10
"118","ENSG00000006025","12_OSBPL7",159,175,111,369,209,653
"119","ENSG00000006042","12_TMEM98",4016,4036,3593,8757,14598,10338
"120","ENSG00000006047","13_YBX2",10,6,4,73,75,43
"121","ENSG00000006059","4_KRT33A",4,3,0,0,0,0
"122","ENSG00000006062","17_MAP3K14",188,245,270,390,129,458
"123","ENSG00000006071","14_ABCC8",9,7,16,41,16,16
"124","ENSG00000006116","3_CACNG3",6,10,6,1,25,0
"125","ENSG00000006118","14_TMEM132A",2510,1630,2705,4578,3488,6501
"126","ENSG00000006125","18_AP2B1",4432,3586,3929,13153,3394,16389
"127","ENSG00000006128","12_TAC1",1,8,17,17,30,20
"128","ENSG00000006194","10_ZNF263",1397,1330,946,2184,1374,2198
"129","ENSG00000006210","7_CX3CL1",34,77,61,177,318,273
"130","ENSG00000006282","21_SPATA20",1235,1136,972,2756,2236,3754
"131","ENSG00000006283","18_CACNA1G",100,91,79,468,109,462
"132","ENSG00000006327","13_TNFRSF12A",8722,8634,6009,11398,31326,13579
"133","ENSG00000006377","11_DLX6",1,1,0,1,16,0
"134","ENSG00000006432","15_MAP3K9",322,186,267,618,311,672
"135","ENSG00000006451","8_RALA",2707,2503,1940,3884,4904,3759
"136","ENSG00000006453","14_BAIAP2L1",318,282,233,175,57,303
"137","ENSG00000006459","11_KDM7A",511,526,310,706,276,625
"138","ENSG00000006468","14_ETV1",1218,1263,1125,7416,3587,6543
"139","ENSG00000006530","18_AGK",627,489,466,2547,2214,2822
"140","ENSG00000006534","16_ALDH3B1",113,128,111,257,474,500
"141","ENSG00000006555","11_TTC22",4,2,7,13,2,2
"142","ENSG00000006576","16_PHTF2",4049,3980,3249,6129,1991,6569
"143","ENSG00000006606","8_CCL26",70,59,58,12,60,37
"144","ENSG00000006607","14_FARP2",679,597,562,1544,466,1875
"145","ENSG00000006611","16_USH1C",10,12,39,327,255,268
"146","ENSG00000006625","18_GGCT",279,334,245,1581,2899,1455
"147","ENSG00000006634","8_DBF4",236,241,272,506,647,352
"148","ENSG00000006638","12_TBXA2R",80,47,53,18,107,54
"149","ENSG00000006652","14_IFRD1",4722,4334,3421,2513,2153,2863
"150","ENSG00000006659","13_LGALS14",9,6,2,2,2,6
"151","ENSG00000006695","12_COX10",491,527,402,1730,1736,1741
"152","ENSG00000006704","10_GTF2IRD1",1445,1228,1448,1030,631,997
"153","ENSG00000006712","15_PAF1",1779,1575,1327,4575,3267,4851
"154","ENSG00000006715","16_VPS41",1120,1119,990,4584,1806,5579
"155","ENSG00000006740","17_ARHGAP44",186,114,116,483,145,603
"156","ENSG00000006744","19_ELAC2",1796,1681,1488,5516,2441,5438
"157","ENSG00000006747","15_SCIN",26,35,12,54,34,29
"158","ENSG00000006756","16_ARSD",355,333,200,784,958,1021
"159","ENSG00000006757","12_PNPLA4",252,193,185,1243,2767,1598
"160","ENSG00000006788","14_MYH13",2,32,37,18,7,19
"161","ENSG00000006831","10_ADIPOR2",126,184,101,1051,417,750
"162","ENSG00000006837","12_CDKL3",104,29,75,110,350,173
"163","ENSG00000007001","12_UPP2",0,6,4,10,4,12
"164","ENSG00000007038","11_PRSS21",1,1,0,0,0,5
"165","ENSG00000007047","15_MARK4",135,87,179,274,381,280
"166","ENSG00000007062","11_PROM1",147,129,73,419,91,385
"167","ENSG00000007080","11_CCDC124",1066,960,707,3156,6718,3460
"168","ENSG00000007129","18_CEACAM21",2,0,1,3,0,3
"169","ENSG00000007168","13_PAFAH1B1",1877,1951,1786,3800,1836,4164
"170","ENSG00000007171","18_NOS2",21,28,10,18,0,4
"171","ENSG00000007174","18_DNAH9",20,18,17,93,13,37
"172","ENSG00000007202","15_KIAA0100",2870,2637,2918,7319,1556,8327
"173","ENSG00000007216","14_SLC13A2",3,1,0,8,5,3
"174","ENSG00000007237","18_AC005747",1279,1304,1141,2890,1147,4546
"175","ENSG00000007255","10_TRAPPC6A",124,104,108,880,2773,1122
"176","ENSG00000007264","15_MATK",3,2,3,18,1,7
"177","ENSG00000007306","15_CEACAM7",0,0,4,0,2,1
"178","ENSG00000007312","12_CD79B",0,0,0,2,3,12
"179","ENSG00000007314","12_SCN4A",3,0,2,36,10,1
"180","ENSG00000007341","19_ST7L",374,415,222,912,792,851
"181","ENSG00000007350","17_TKTL1",14,7,2,30,93,41
"182","ENSG00000007372","23_PAX6",6,10,12,79,47,46
"183","ENSG00000007376","8_RPUSD1",542,529,613,1167,1605,1128
"184","ENSG00000007384","15_RHBDF1",1904,1322,1645,2593,1878,2540
"185","ENSG00000007392","16_LUC7L",1598,1627,1206,3382,2697,3657
"186","ENSG00000007402","11_CACNA2D2",44,46,52,988,173,796
"187","ENSG00000007516","13_BAIAP3",35,12,20,103,78,238
"188","ENSG00000007520","4_TSR3",1559,1561,1149,5293,10398,5419
"189","ENSG00000007541","16_PIGQ",631,645,635,1997,2762,2636
"190","ENSG00000007545","16_CRAMP1",340,242,472,784,209,972
"191","ENSG00000007866","21_TEAD3",752,623,672,2719,2301,3006
"192","ENSG00000007908","16_SELE",43,30,47,20,8,8
"193","ENSG00000007923","16_DNAJC11",1285,1327,1114,4018,1346,4473
"194","ENSG00000007933","13_FMO3",0,12,2,9,1,10
"195","ENSG00000007944","15_MYLIP",1710,1734,1554,3531,4088,3532
"196","ENSG00000007952","18_NOX1",4,3,2,5,65,25
"197","ENSG00000007968","7_E2F2",13,3,8,37,111,68
"198","ENSG00000008018","9_PSMB1",3891,3427,2969,9877,22781,11674
"199","ENSG00000008056","14_SYN1",180,98,112,422,522,401
"200","ENSG00000008083","14_JARID2",931,908,879,1144,425,1106
"201","ENSG00000008086","13_CDKL5",189,181,123,287,210,375
"202","ENSG00000008118","10_CAMK1G",23,6,31,253,268,190
"203","ENSG00000008128","23_CDK11A",265,238,199,375,967,516
"204","ENSG00000008130","15_NADK",1192,1100,1164,2812,1314,3645
"205","ENSG00000008196","13_TFAP2B",6,2,1,0,1,9
"206","ENSG00000008197","4_TFAP2D",2,0,0,7,5,3
"207","ENSG00000008226","20_DLEC1",6,13,1,25,6,32
"208","ENSG00000008256","16_CYTH3",1435,1254,1307,1543,490,2016
"209","ENSG00000008277","14_ADAM22",91,84,32,228,83,257
"210","ENSG00000008282","8_SYPL1",2218,2488,1821,5767,6979,5559
"211","ENSG00000008283","16_CYB561",396,315,273,520,677,656
"212","ENSG00000008294","21_SPAG9",1866,1690,1602,3810,1475,3923
"213","ENSG00000008300","17_CELSR3",63,124,73,33,30,102
"214","ENSG00000008311","15_AASS",843,756,504,3392,1930,3289
"215","ENSG00000008323","15_PLEKHG6",11,24,30,11,15,9
"216","ENSG00000008324","11_SS18L2",374,283,226,632,1676,670
"217","ENSG00000008382","15_MPND",62,54,80,431,530,437
"218","ENSG00000008394","13_MGST1",628,684,759,2031,5406,2172
"219","ENSG00000008405","12_CRY1",5284,5098,4242,3603,1999,3874
"220","ENSG00000008438","5_PGLYRP1",0,0,0,0,0,0
"221","ENSG00000008441","16_NFIX",527,453,200,912,1534,1212
"222","ENSG00000008513","16_ST3GAL1",3651,3926,3541,7108,4692,8859
"223","ENSG00000008516","17_MMP25",13,5,15,7,12,29
"224","ENSG00000008517","16_IL32",1267,888,590,508,1390,827
"225","ENSG00000008710","20_PKD1",1102,806,1079,2218,1475,2858
"226","ENSG00000008735","14_MAPK8IP2",30,46,19,43,21,49
"227","ENSG00000008838","20_MED24",1315,1071,1048,3820,1277,4091
"228","ENSG00000008853","16_RHOBTB2",927,612,781,2262,703,2921
"229","ENSG00000008869","12_HEATR5B",1022,864,701,2784,437,2908
"230","ENSG00000008952","17_SEC62",1594,1390,1261,3629,6766,3221
"231","ENSG00000008988","9_RPS20",2724,1937,1762,8024,22925,9183
"232","ENSG00000009307","16_CSDE1",11430,9914,9037,38308,11894,40000
"233","ENSG00000009335","18_UBE3C",4090,2869,3551,5858,860,6034
"234","ENSG00000009413","16_REV3L",1705,1695,1554,2814,1949,2734
"235","ENSG00000009694","13_TENM1",32,19,24,27,29,33
"236","ENSG00000009709","12_PAX7",2,0,1,4,2,6
"237","ENSG00000009724","17_MASP2",2,6,1,6,27,19
"238","ENSG00000009765","14_IYD",25,11,13,34,23,25
"239","ENSG00000009780","15_FAM76A",153,132,111,427,354,478
"240","ENSG00000009790","15_TRAF3IP3",2,5,4,24,25,15
"241","ENSG00000009830","11_POMT2",673,516,595,1272,475,1275
"242","ENSG00000009844","16_VTA1",2247,1967,1758,6211,6576,7184
"243","ENSG00000009950","16_MLXIPL",3,3,3,7,3,8
"244","ENSG00000009954","11_BAZ1B",2291,1967,1201,3213,2529,3807
"245","ENSG00000010017","13_RANBP9",905,694,828,1678,1167,1843
"246","ENSG00000010030","14_ETV7",78,136,35,18,104,31
"247","ENSG00000010072","16_SPRTN",447,551,386,1465,1052,1457
"248","ENSG00000010165","20_EEF1AKNMT",390,401,352,1134,545,1146
"249","ENSG00000010219","13_DYRK4",297,235,210,1576,3970,1662
"250","ENSG00000010244","18_ZNF207",3971,3895,3185,7542,8693,8273
"251","ENSG00000010256","11_UQCRC1",4777,4849,4115,23028,31886,20855
"252","ENSG00000010270","13_STARD3NL",2251,2138,1733,4490,7056,4033
"253","ENSG00000010278","14_CD9",2710,2447,1768,1330,2808,1654
"254","ENSG00000010282","15_HHATL",55,12,11,1525,2604,1577
"255","ENSG00000010292","13_NCAPD2",993,630,664,2043,503,2805
"256","ENSG00000010295","19_IFFO1",543,533,589,1461,895,1503
"257","ENSG00000010310","9_GIPR",86,86,42,117,83,93
"258","ENSG00000010318","21_PHF7",62,69,61,252,560,274
"259","ENSG00000010319","7_SEMA3G",5,1,5,5,20,49
"260","ENSG00000010322","16_NISCH",2237,1714,2345,6728,1973,10281
"261","ENSG00000010327","10_STAB1",6,4,12,1,10,13
"262","ENSG00000010361","14_FUZ",113,111,111,588,954,766
"263","ENSG00000010379","16_SLC6A13",24,18,28,28,38,19
"264","ENSG00000010404","18_IDS",2305,1986,1701,2748,1930,4152
"265","ENSG00000010438","16_PRSS3",0,1,2,2,16,2
"266","ENSG00000010539","11_ZNF200",463,418,298,1154,775,1189
"267","ENSG00000010610","10_CD4",18,9,5,35,23,57
"268","ENSG00000010626","15_LRRC23",181,170,99,441,1050,583
"269","ENSG00000010671","15_BTK",16,14,20,44,16,43
"270","ENSG00000010704","18_HFE",132,163,145,84,92,62
"271","ENSG00000010803","16_SCMH1",986,1129,1179,5493,2976,4529
"272","ENSG00000010810","17_FYN",3916,3773,2743,6283,4037,7378
"273","ENSG00000010818","10_HIVEP2",4619,3520,4549,769,95,956
"274","ENSG00000010932","17_FMO1",4,9,0,6,0,8
"275","ENSG00000011007","12_ELOA",1662,1651,1129,3048,2265,3781
"276","ENSG00000011009","11_LYPLA2",1129,1253,1154,2714,5350,3056
"277","ENSG00000011021","23_CLCN6",1666,1512,1177,2130,2002,2209
"278","ENSG00000011028","14_MRC2",12252,6627,10454,9375,2410,14616
"279","ENSG00000011052","21_NME1-NME2",1337,1104,1231,3463,7022,3441
"280","ENSG00000011083","9_SLC6A7",1,4,3,5,10,5
"281","ENSG00000011105","14_TSPAN9",711,525,642,2712,1993,2581
"282","ENSG00000011114","15_BTBD7",1085,1135,835,1991,885,2385
"283","ENSG00000011132","12_APBA3",380,374,302,633,1128,874
"284","ENSG00000011143","17_MKS1",123,134,90,912,881,1096
"285","ENSG00000011198","10_ABHD5",820,935,600,1660,1419,1609
"286","ENSG00000011201","12_ANOS1",2480,2448,1870,3691,887,5685
"287","ENSG00000011243","18_AKAP8L",3601,3533,2604,6333,4966,6730
"288","ENSG00000011258","16_MBTD1",307,308,223,704,606,522
"289","ENSG00000011260","14_UTP18",1075,955,855,1038,1056,1577
"290","ENSG00000011275","18_RNF216",2245,2071,1495,5154,2947,5708
"291","ENSG00000011295","16_TTC19",1024,1152,775,3663,3065,4486
"292","ENSG00000011304","20_PTBP1",6529,5418,4654,4865,4910,6116
"293","ENSG00000011332","19_DPF1",14,16,16,45,125,103
"294","ENSG00000011347","10_SYT7",83,23,80,239,80,256
"295","ENSG00000011376","12_LARS2",604,509,400,2505,737,2607
"296","ENSG00000011405","13_PIK3C2A",1569,1687,1356,3540,921,3591
"297","ENSG00000011422","12_PLAUR",5767,5070,3595,751,1794,977
"298","ENSG00000011426","11_ANLN",536,719,526,12300,2369,14088
"299","ENSG00000011451","20_WIZ",454,302,552,1113,748,1324
"300","ENSG00000011454","17_RABGAP1",2779,2663,2101,8294,1912,8486
"301","ENSG00000011465","17_DCN",7672,7323,5329,10513,21485,15318
"302","ENSG00000011478","12_QPCTL",322,280,179,228,726,317
"303","ENSG00000011485","15_PPP5C",978,922,778,3768,3681,4461
"304","ENSG00000011523","14_CEP68",559,616,419,2973,1350,2998
"305","ENSG00000011566","15_MAP4K3",2908,2975,2621,4055,1480,4581
"306","ENSG00000011590","14_ZBTB32",1,0,3,17,3,2
"307","ENSG00000011600","12_TYROBP",2,1,0,1,1,0
"308","ENSG00000011638","10_TMEM159",809,805,636,2563,3792,2704
"309","ENSG00000011677","13_GABRA3",10,8,1,12,2,4
"310","ENSG00000012048","23_BRCA1",43,48,22,315,287,544
"311","ENSG00000012061","15_ERCC1",1430,1269,1023,4138,7555,3932
"312","ENSG00000012124","17_CD22",11,10,16,12,8,15
"313","ENSG00000012171","20_SEMA3B",339,298,213,803,466,792
"314","ENSG00000012174","12_MBTPS2",869,850,444,2576,554,2915
"315","ENSG00000012211","13_PRICKLE3",136,86,115,142,117,205
"316","ENSG00000012223","13_LTF",4,1,1,4,0,5
"317","ENSG00000012232","9_EXTL3",1241,938,1638,4413,616,5336
"318","ENSG00000012504","15_NR1H4",428,438,313,352,390,497
"319","ENSG00000012660","14_ELOVL5",3611,3848,2687,5105,3910,6341
"320","ENSG00000012779","11_ALOX5",6,4,0,10,4,17
"321","ENSG00000012817","15_KDM5D",0,0,0,0,0,0
"322","ENSG00000012822","16_CALCOCO1",2638,2302,1748,10059,4826,10822
"323","ENSG00000012963","15_UBR7",712,638,539,3905,1394,4493
"324","ENSG00000012983","11_MAP4K5",2311,2311,1869,4322,2889,4105
"325","ENSG00000013016","16_EHD3",4269,3623,3167,14417,5130,18121
"326","ENSG00000013275","8_PSMC4",2158,2094,1686,5453,8498,5498
"327","ENSG00000013288","9_MAN2B2",1336,1094,867,1911,926,3223
"328","ENSG00000013293","6_SLC7A14",13,13,24,50,34,170
"329","ENSG00000013297","11_CLDN11",20,17,63,50,45,56
"330","ENSG00000013306","16_SLC25A39",1809,1706,1573,5701,8799,6030
"331","ENSG00000013364","19_MVP",5203,4649,4077,2739,1876,3714
"332","ENSG00000013374","16_NUB1",1074,1131,765,2628,1910,2534
"333","ENSG00000013375","16_PGM3",5629,5742,3765,5752,3956,7920
"334","ENSG00000013392","8_RWDD2A",530,575,303,1270,1511,1597
"335","ENSG00000013441","16_CLK1",2393,2163,1690,1432,1282,1360
"336","ENSG00000013503","10_POLR3B",480,610,464,1550,245,1614
"337","ENSG00000013523","10_ANGEL1",560,484,661,1793,610,1776
"338","ENSG00000013561","18_RNF14",1605,1733,1519,7294,3807,6772
"339","ENSG00000013563","14_DNASE1L1",846,772,544,2140,2221,2092
"340","ENSG00000013573","17_DDX11",434,327,222,714,606,1067
"341","ENSG00000013583","10_HEBP1",680,652,557,1392,3448,1865
"342","ENSG00000013588","8_GPRC5A",2768,2701,2751,2181,2130,5213
"343","ENSG00000013619","14_MAMLD1",751,822,662,1348,788,2184
"344","ENSG00000013725","14_CD6",35,16,38,64,49,61
"345","ENSG00000013810","19_TACC3",130,161,94,865,461,1150
"346","ENSG00000014123","10_UFL1",491,589,295,2692,2265,2858
"347","ENSG00000014138","9_POLA2",73,82,45,416,371,589
"348","ENSG00000014164","7_ZC3H3",586,439,602,1113,1023,1581
"349","ENSG00000014216","15_CAPN1",3760,2843,2782,5867,3382,7005
"350","ENSG00000014257","16_ACPP",36,37,15,69,85,81
"351","ENSG00000014824","14_SLC30A9",1675,1976,1444,8137,4080,8513
"352","ENSG00000014914","21_MTMR11",155,162,129,319,203,418
"353","ENSG00000014919","12_COX15",433,499,366,2262,1363,2453
"354","ENSG00000015133","19_CCDC88C",33,27,4,79,21,91
"355","ENSG00000015153","14_YAF2",428,399,304,1322,2493,968
"356","ENSG00000015171","19_ZMYND11",2464,2649,1915,8472,2398,8585
"357","ENSG00000015285","11_WAS",2,0,0,6,18,6
"358","ENSG00000015413","9_DPEP1",0,0,1,1,9,11
"359","ENSG00000015475","18_BID",1305,1282,933,1367,2201,1444
"360","ENSG00000015479","19_MATR3",7740,7261,5346,27685,9248,27418
"361","ENSG00000015520","14_NPC1L1",107,86,37,12,9,12
"362","ENSG00000015532","10_XYLT2",970,786,638,1151,767,1753
"363","ENSG00000015568","13_RGPD5",799,454,397,1206,373,1346
"364","ENSG00000015592","16_STMN4",4,3,1,5,3,4
"365","ENSG00000015676","18_NUDCD3",2049,2135,1705,6085,1784,7344
"366","ENSG00000016082","15_ISL1",237,200,222,440,582,409
"367","ENSG00000016391","11_CHDH",154,132,202,495,319,406
"368","ENSG00000016402","13_IL20RA",52,47,16,471,455,393
"369","ENSG00000016490","16_CLCA1",7,4,0,14,4,0
"370","ENSG00000016602","9_CLCA4",5,0,0,0,0,3
"371","ENSG00000016864","18_GLT8D1",1682,1481,1182,3518,4118,4546
"372","ENSG00000017260","19_ATP2C1",2605,2376,2410,6136,1710,7415
"373","ENSG00000017427","16_IGF1",154,80,146,134,768,605
"374","ENSG00000017483","15_SLC38A5",214,147,128,49,87,143
"375","ENSG00000017797","13_RALBP1",884,664,931,2567,3779,2724
"376","ENSG00000018189","13_RUFY3",795,704,567,1799,1441,2236
"377","ENSG00000018236","15_CNTN1",906,847,700,3514,489,3188
"378","ENSG00000018280","17_SLC11A1",15,7,14,50,45,34
"379","ENSG00000018408","14_WWTR1",4744,3573,3324,6379,3517,7329
"380","ENSG00000018510","16_AGPS",1425,1472,1117,3552,1261,3105
"381","ENSG00000018610","14_CXorf56",150,145,94,491,1055,638
"382","ENSG00000018625","15_ATP1A2",117,107,102,1037,594,1209
"383","ENSG00000018699","13_TTC27",933,836,661,2433,1101,2468
"384","ENSG00000018869","16_ZNF582",47,109,47,276,430,270
"385","ENSG00000019102","12_VSIG2",5,1,1,6,10,1
"386","ENSG00000019144","19_PHLDB1",2671,2136,2672,5584,3898,7602
"387","ENSG00000019169","10_MARCO",0,0,0,0,1,0
"388","ENSG00000019186","10_CYP24A1",12,13,10,6,8,7
"389","ENSG00000019485","13_PRDM11",330,186,255,888,506,913
"390","ENSG00000019505","8_SYT13",37,66,55,243,239,223
"391","ENSG00000019549","13_SNAI2",1684,1829,1201,2224,3208,2411
"392","ENSG00000019582","15_CD74",20,34,14,60,138,64
"393","ENSG00000019991","18_HGF",170,140,74,237,244,319
"394","ENSG00000019995","6_ZRANB1",1813,1526,1384,2410,815,2653
"395","ENSG00000020129","16_NCDN",1096,733,997,2904,1706,3347
"396","ENSG00000020181","18_ADGRA2",2141,1285,2245,2084,1614,3763
"397","ENSG00000020256","20_ZFP64",671,782,570,671,855,912
"398","ENSG00000020426","11_MNAT1",383,432,313,960,2278,911
"399","ENSG00000020577","14_SAMD4A",616,671,537,1869,1830,1783
"400","ENSG00000020633","18_RUNX3",29,5,13,15,3,2
"401","ENSG00000020922","12_MRE11",200,251,213,934,870,1111
"402","ENSG00000021300","14_PLEKHB1",64,69,93,694,951,529
"403","ENSG00000021355","13_SERPINB1",1334,1161,965,1297,1650,1118
"404","ENSG00000021461","16_CYP3A43",7,2,7,3,0,3
"405","ENSG00000021488","13_SLC7A9",7,12,2,14,32,18
"406","ENSG00000021574","12_SPAST",590,531,430,955,763,1114
"407","ENSG00000021645","19_NRXN3",635,453,419,562,457,927
