Acc	UGCluster	LLID
BC020661	Hs.478383	55669
BC000433	Hs.178695	5603
BC038295	Hs.531754	5609
BC037585	Hs.211601	7786
BC033197	Hs.437214	4293
BC010407	Hs.234521	7867
BC024190	Hs.351629	28956
BC012839	Hs.11169	54206
AF211891	Hs.282079	83881
BC033101	Hs.500721	64210
AY157608	Hs.288568	80168
BC008064	Hs.183109	4128
BC022494	Hs.46732	4129
AB014586	Hs.153692	84059
BC030641	Hs.190043	158747
BC032373	Hs.25723	23625
BC016289	Hs.75659	4358
BC067353	Hs.424414	4487
BC064415	Hs.524479	79812
AF081249	Hs.501898	10335
BC017560	Hs.134470	124540
BC006850	Hs.195364	4292
BC001358	Hs.371225	4439
BC068550	Hs.501262	4155
BC013589	Hs.82116	4615
BC007045	Hs.85195	4291
L25050	Hs.480190	4299
AF384029	Hs.239663	4303
BC029261	Hs.436037	4653
BC036457	Hs.516697	25953
BC017834	Hs.35937	4618
BC036325	Hs.302051	80179
BC016372	Hs.190086	10627
AF111784	Hs.513941	4620
BC005318	Hs.187338	4632
BC064420	Hs.477375	4638
BC030779	Hs.434285	4534
BC014592	Hs.241575	84572
BC018732	Hs.334832	51706
BC000813	Hs.83916	4698
BC001016	Hs.495039	4702
BC007672	Hs.15977	4715
BC007323	Hs.407860	4718
BC015645	Hs.7744	4723
BC015735	Hs.512564	27158
BC015917	Hs.191762	124056
AF054187	Hs.505735	4666
AF025998	Hs.237028	4883
BC010458	Hs.525205	57447
BC064531	Hs.408458	11060
BC001472	Hs.173162	10328
U72391	Hs.388613	4756
BC015028	Hs.235935	4856
BC050309	Hs.415768	4804
D23662	Hs.531064	4738
BC002683	Hs.103291	51299
BC012037	Hs.439671	4681
BC024592	Hs.121870	23154
BC010285	Hs.25155	10276
M82814	Hs.113874	4763
BC039237	Hs.521461	4747
BC022481	Hs.322431	4761
BC002835	Hs.524116	4900
BC001644	Hs.247460	57486
BC036771	Hs.146542	257194
U61849	Hs.514556	4884
BC010665	Hs.521969	54539
AF005271	Hs.104555	8620
BC036657	Hs.519057	4886
BC062580	Hs.406293	4914
BC013693	Hs.410969	4916; 283738
BC047621	Hs.517249	23385
BC002532	Hs.433222	10577
BC063294	Hs.511603	4846
BC041090	Hs.234763	26257
BC033585	Hs.370414	4838
BC029901	Hs.522615	4693
BC013208	Hs.495473	4851
BC001255	Hs.240770	22916
BC022264	Hs.191911	4774
BC017745	Hs.525006	26747
BC030207	Hs.427055	8431
BC056148	Hs.276916	9572
BC014664	Hs.347991	7026
BC016147	Hs.524430	3164
D78579	Hs.279522	8013
BC027893	Hs.33446	2494
BC039244	Hs.10441	4800
BC005316	Hs.84928	4801
BC005003	Hs.233458	4802
BC062683	Hs.549161	51406
BC018805	Hs.471104	51602
BC002343	Hs.79110	4691
BC054868	Hs.90691	10360
BC020107	Hs.12457	55746
BC001104	Hs.507537	9818
BC009842	Hs.422889	11162
BC069115	Hs.534335	4975
BC053367	Hs.550567	352954
BC013876	Hs.332706	10133
BC062432	Hs.6483	8481
BC035494	Hs.410228	23595
BC014847	Hs.470174	5000
BC012543	Hs.534450	29095
AF242521	Hs.74563	4947
BC010629	Hs.129055	4957
BC059408	Hs.134434	5017
BC001669	Hs.151134	5018
BC019691	Hs.148778	55074
BC011368	Hs.20447	10298
BC002434	Hs.513463	26471
BC017449	Hs.530412	26135
BC069134	Hs.369099	5075
AB008913	Hs.129706	5078
BC011953	Hs.502235	5080
BC011642	Hs.137568	5309
BC012570	Hs.483993	54873
BC061703	Hs.173946	55149
BC015626	Hs.112933	50855
BC009728	Hs.530077	5445
BC005961	Hs.89626	5744
BC015607	Hs.496068	5127
BC006496	Hs.444751	5174
BC012186	Hs.501149	118987
AB033768	Hs.412941	29943
BC003412	Hs.256639	10465
BC002678	Hs.110364	5480
AB012614	Hs.58756	8864
BC019040	Hs.372031	5376
AF231705	Hs.502823	25824
BC000496	Hs.517232	5824
BC000661	Hs.437966	5828
BC000052	Hs.275711	5465
BC029800	Hs.527078	10891
BC013916	Hs.549185	57092
AB019410	Hs.119316	5188
BC008834	Hs.166204	5252; 51596
BC001657	Hs.444173	57649
BC022002	Hs.372719	51533
BC005821	Hs.500466	5728
BC046355	Hs.435767	5130
BC012084	Hs.285218	58488
BC015570	Hs.464217	9489
BC064357	Hs.163893	8301
BC038236	Hs.137154	5277
BC068197	Hs.167559	9487
AB097818	Hs.378885	284098
BC018034	Hs.499029	5305
BC027459	Hs.260603	8396
BC022480	Hs.416061	5136
BC032226	Hs.530871	5153
BC036108	Hs.198072	5142
BC036319	Hs.117545	5144
BC058025	Hs.527119	5150
BC023978	Hs.1872	5105
D30780	Hs.410477	22925
BC013384	Hs.992	5319
AF532185	Hs.97542	89869
BC068976	Hs.478230	5337
BC006089	Hs.30954	10654
BC004200	Hs.331420	5471
BC001605	Hs.56	5631
BC010273	Hs.518774	10606
BC038958	Hs.473648	2618
X73874	Hs.201379	5255
BC034473	Hs.407580	8502
BC013575	Hs.77274	5328; 414236
BC039049	Hs.496622	5358
BC064638	Hs.77318	5048
BC003016	Hs.466831	5050
BC029822	Hs.1976	5155
BC064601	Hs.9469	57664
BC038385	Hs.191215	9267
BC069194	Hs.477114	90102
BC042466	Hs.16426	5420
BC012005	Hs.535298	8505
BC015958	Hs.387804	26986
BC010939	Hs.117176	8106
BC017098	Hs.20930	57060
BC014530	Hs.456507	79932
AF054992	Hs.181272	5311
BC012358	Hs.534384	10084
BC022325	Hs.546441	80012
BC068573	Hs.524271	1912
BC032617	Hs.438533	11201
BC014955	Hs.135756	51426
BC011376	Hs.524871	5426
BC015742	Hs.439153	5429
BC068529	Hs.523230	27343
BC019643	Hs.505802	84271
M21610	Hs.270017	5430
BC000516	Hs.148342	661
BC066123	Hs.437191	284119
AF272149	Hs.497589	5284
BC008201	Hs.76277	92840
BC026911	Hs.16297	64091
BC028739	Hs.13285	27012
BC075037	Hs.158173	3780
BC069386	Hs.444595	3762
AF033347	Hs.374023	3786
BC016852	Hs.505806	57326
BC012464	Hs.492516	5202
BC010953	Hs.91161	5203
BC005266	Hs.534339	5557
BC012844	Hs.472010	5621
BC043644	Hs.406696	23627
BC007018	Hs.406074	5074
BC073740	Hs.1867	5225
AY424287	Hs.408385	344838
BC016353	Hs.478150	11235
BC013349	Hs.22678	56652
BC012608	Hs.190341	5638
BC030636	Hs.436564	5550
BC031211	Hs.78977	5122
BC002851	Hs.522640	27344
BC001905	Hs.315186	5126
BC012064	Hs.368542	5125
BC039034	Hs.159360	5731
BC035634	Hs.25391	221476
BC030260	Hs.367767	5645
BC011960	Hs.522752	5716
BC019885	Hs.512410	5721
BC029836	Hs.471917	9491
BC017882	Hs.446260	5687
BC000508	Hs.352768	5689
BC010047	Hs.105779	51588
BC013586	Hs.512640	5589
BC036472	Hs.460355	5579
AF251059	Hs.24979	55359
BC068598	Hs.549162	51422
BC014355	Hs.433068	5577
X94612	Hs.546277	5593
BC003067	Hs.76556	23645
BC022470	Hs.505662	5502
BC007655	Hs.184840	5504
BC012625	Hs.303090	5507
BC064381	Hs.416769	5495
BC014386	Hs.17883	5496
BC019275	Hs.483408	5515
BC031790	Hs.193825	5521
BC065531	Hs.518155	5523
BC045619	Hs.75199	5526
BC016183	Hs.368264	5527
BC050705	Hs.503251	51400
BC062616	Hs.513683	5681
BC030949	Hs.506852	5781
BC016727	Hs.123352	5771
BC001746	Hs.402773	5778
BC033092	Hs.128846	140885
BC014239	Hs.192039	5788
BC072386	Hs.506076	5801
AB006621	Hs.549109	11122
BC031024	Hs.528638	51184
BC015516	Hs.1908	5552
BC002357	Hs.517373	5498
BC064522	Hs.339453	51290
AF018284	Hs.2411	5028
BC017898	Hs.532933	64805
BC038715	Hs.515104	126006
BC013791	Hs.80296	5121
BC009694	Hs.432132	50486
BC007211	Hs.479491	79971
AK056824	Hs.97124	154150
BC010389	Hs.502315	8050
BC012811	Hs.198281	5315
BC052640	Hs.356626	125988
BC020832	Hs.444360	285282
BC015014	Hs.406799	22931
BC066366	Hs.22399	84932
BC001157	Hs.56294	9363
BC066904	Hs.301853	83871
BC015931	Hs.524788	11021
BC015808	Hs.283148	23682
BC018039	Hs.484068	10966
AF498938	Hs.514182	5878
BC068006	Hs.400431	23085
BC033768	Hs.522795	9459
BC000667	Hs.412587	5889
AB023176	Hs.497148	23179
BC071999	Hs.24763	5902
BC068477	Hs.8578	10411
BC070031	Hs.508480	5911
BC035382	Hs.119889	57826
BC033297	Hs.126774	51514
BC051830	Hs.494178	6096
BC052808	Hs.502659	389
BC034049	Hs.434993	51277
BC011645	Hs.1027	6236
BC027975	Hs.514193	10266
BC010080	Hs.513055	80349
BC064976	Hs.479396	3516
BC006401	Hs.58831	9214
BC009361	Hs.501200	6001
BC033474	Hs.3210	5972
BC002813	Hs.139226	5982
BC066924	Hs.440382	5987
BC004892	Hs.79088	5955
BC074720	Hs.532150	5961
BC036268	Hs.281564	6094
BC052988	Hs.431400	26064
BC035890	Hs.193118	57178
BC027937	Hs.446680	10742
BC001167	Hs.388034	6257
BC012063	Hs.26550	6258
BC033082	Hs.546471	114819
BC065218	Hs.131835	57127
BC012605	Hs.120950	6005
BC052303	Hs.3109	393
U17032	Hs.525287	394
BC020567	Hs.516790	9181
BC016846	Hs.518201	151636
BC011748	Hs.532851	10535
BC010839	Hs.518244	6184; 285226
BC015529	Hs.469264	22934
BC050644	Hs.408054	6136; 26783
BC032700	Hs.400295	6156; 26775
BC010919	Hs.182825	11224
BC013863	Hs.528668	6128; 388460
BC006095	Hs.421257	6129
BC010028	Hs.433529	6205
BC007507	Hs.8102	6224
BC003537	Hs.512676	6230
BC032813	Hs.156367	6235
BC066926	Hs.356572	6189
BC013296	Hs.408073	6194
BC004858	Hs.371617	7703
BC063680	Hs.368554	55298
BC065244	Hs.484363	55819
BC012583	Hs.124186	6045
BC011626	Hs.524502	10193
BC010991	Hs.269990	84173
BC017088	Hs.552581	9939; 114814
BC015973	Hs.143873	6281
BC001766	Hs.422181	6285
BC010018	Hs.388004	191
BC010681	Hs.485365	10768
BC021709	Hs.371199	8910
AB028957	Hs.516617	23314
BC031298	Hs.365863	10640
BC001151	Hs.369373	10483
BC040492	Hs.520740	9805
BC040498	Hs.181300	6400
BC005840	Hs.32148	55829
BC011922	Hs.496666	23157
BC011991	Hs.525557	5265
BC015663	Hs.38449	5270
BC011171	Hs.384598	710
BC018043	Hs.478153	5274
AL834378	Hs.461954	63826
BC035354	Hs.512763	81629
BC012085	Hs.409578	11329
BC012117	Hs.371372	10283
BC074788	Hs.77293	9792
BC052572	Hs.520140	6722
BC013832	Hs.296323	6446
BC009362	Hs.516278	9869
BC013082	Hs.477959	6478
BC000911	Hs.281902	10910
BC030135	Hs.109051	83442
BC015806	Hs.444770	30011
AJ010059	Hs.88012	27240
BC016299	Hs.109672	30815
BC000884	Hs.11125	28972
BC071716	Hs.533732	6727
BC002704	Hs.470943	6772
BC065227	Hs.132864	6777
BC014190	Hs.493164	93100
BC038230	Hs.64004	153364
BC046148	Hs.432862	10299
BC017305	Hs.528641	51547
BC014791	Hs.534388	10534; 254100
BC005820	Hs.367854	10419
BC050743	Hs.549051	4088
BC016352	Hs.546339	10944
BC012044	Hs.287971	54557
BC005948	Hs.86492	23676
BC032648	Hs.416262	6650
BC012796	Hs.22065	56882
AF092563	Hs.119023	10592
BC011389	Hs.526728	79677; 284952
AK074973	Hs.331268	160418
BC012026	Hs.149098	6525
BC066306	Hs.81424	7341
BC073806	Hs.516095	10322
BC064804	Hs.500972	9748
AY212253	Hs.46038	6329
AB158469	Hs.517898	6331
M91556	Hs.182889	6332
BC031313	Hs.502338	6506
BC037310	Hs.481918	6507; 26107
U44128	Hs.369271	6559
BC036329	Hs.21413	57468
AF321240	Hs.305971	81031
BC060041	Hs.167584	6514
BC069615	Hs.551514	6517
BC019043	Hs.179522	29988
BC033682	Hs.369252	9356
AF288087	Hs.211252	57419
BC016294	Hs.184877	8402
BC011574	Hs.290404	5250
BC006566	Hs.489190	10165
BC015160	Hs.4866	284129
BC025671	Hs.1650	1811
BC028358	Hs.467981	7781
BC026089	Hs.162989	7782
BC013611	Hs.532315	1317
BC010307	Hs.237480	55032
BC011888	Hs.154073	10237
BC016839	Hs.182885	347734
BC016909	Hs.221847	54407
BC064429	Hs.200738	145389
BC047682	Hs.432690	55334
BC010069	Hs.433984	6522
BC035893	Hs.529285	30061
S70609	Hs.442590	6536
BC036783	Hs.337696	6547
BC011777	Hs.396783	9368
BC000585	Hs.311187	28232
AF119865	Hs.127648	353189
BC016067	Hs.443609	81796
BC019610	Hs.514451	6752
BC002422	Hs.517262	6651
BC000357	Hs.188634	6642
BC050289	Hs.487648	23161
BC016680	Hs.514276	6668
BC042945	Hs.531587	6670
BC011548	Hs.497349	64093
BC010383	Hs.62886	8404
AB029006	Hs.468091	6683
BC001269	Hs.463382	8405
BC030585	Hs.527698	9576
BC048217	Hs.480672	166378
BC002503	Hs.28491	6303
BC000038	Hs.55235	6610
BC014439	Hs.68061	8877
BC066958	Hs.73965	6427; 79157
AF030234	Hs.210367	9169
BC006832	Hs.6891	6431
BC016915	Hs.201054	6399; 10597
AF251060	Hs.323308	81848
BC015627	Hs.506663	9733
BC035513	Hs.8619	54345
BC018276	Hs.2316	6662
BC029044	Hs.25590	6781
BC013958	Hs.233160	8614
BC017180	Hs.122523	27044
BC014353	Hs.209983	3925
BC006302	Hs.521651	11075
BC005810	Hs.512680	6320
BC010550	Hs.521535	6770
BC005911	Hs.476365	6342
BC051385	Hs.443258	6721
BC015881	Hs.24553	64220
BC010152	Hs.3439	30968
AB022427	Hs.518326	27230
BC032113	Hs.521075	10734; 352954
BC012735	Hs.444472	6391
BC031411	Hs.513002	123228
BC003153	Hs.511739	10054
BC045639	Hs.371957	29843
BC014418	Hs.2420	6649
BC030954	Hs.368131	7982; 93653
BC010399	Hs.485572	8835
BC013291	Hs.404089	51684
BC064561	Hs.213724	11198
BC017105	Hs.250429	6830
BC005913	Hs.1074	6440
BC018741	Hs.512465	6836
AB037701	Hs.533862	8487
BC003586	Hs.287412	83787
BC036711	Hs.225936	6853
BC051307	Hs.445503	6854
BC000407	Hs.464210	9144
BC007704	Hs.443661	55333
BC064550	Hs.75667	6855
BC010647	Hs.167317	6616
BC009715	Hs.108002	9342
BC007405	Hs.530733	6809; 390201
BC041485	Hs.35199	252983
BC026215	Hs.31121	6640
BC013293	Hs.271771	6622
BC014098	Hs.349470	6623
AJ001699	Hs.389457	6862
AY322545	Hs.88372	6865
BC021972	Hs.112444	6882
BC011986	Hs.530251	6883
BC013397	Hs.438838	6879
BC053615	Hs.525198	6491
BC064966	Hs.370937	6892
BC002419	Hs.326	6895
BC029396	Hs.153504	10040
BC051650	Hs.462379	146691; 246315
D86972	Hs.475401	9797
BC021927	Hs.444950	83874
AF188703	Hs.143907	9496
BC011028	Hs.381715	6910
BC033324	Hs.12813	25976
BC006273	Hs.466531	84807
BC005157	Hs.517962	6988
BC018133	Hs.495985	10312
BC035514	Hs.89640	7010
BC016739	Hs.301419	54386
BC029506	Hs.524039	56158
BC040526	Hs.390221	56155
BC028366	Hs.120267	80705
BC000942	Hs.519718	7265
BC047950	Hs.79170	23508
BC012816	Hs.292281	60436
BC002984	Hs.15098	79178
BC000894	Hs.9676	55856
BC005374	Hs.154023	23071
BC001156	Hs.114412	9352
BC000666	Hs.279861	51075
BC022367	Hs.135254	84870
AF261093	Hs.134643	7070; 94105
BC010034	Hs.292493	2547
BC011375	Hs.462983	9862
BC012448	Hs.500340	9325
BC035137	Hs.724	7067; 9572
BC069298	Hs.406687	7252
BC006221	Hs.94367	7080
BC040230	Hs.199814	29953
BC063500	Hs.211823	200765
BC001769	Hs.8375	9618
BC002432	Hs.436401	8940
BC010866	Hs.524078	51399
AB046855	Hs.477965	116931
BC013809	Hs.546305	6921
BC016923	Hs.526401	57455
BC062351	Hs.443465	10915
BC033086	Hs.550488	6941
BC025697	Hs.78061	6943
BC031056	Hs.200285	6925
BC072023	Hs.519580	6932
BC037225	Hs.33102	7021
BC017788	Hs.279908	51106
BC018503	Hs.2025	7043
BC020548	Hs.446350	9392
BC071181	Hs.494622	7046
BC000097	Hs.369397	7045
BC034699	Hs.508950	7051
BC013823	Hs.20716	10440
BC015093	Hs.447877	1678
BC012134	Hs.310542	10452
X63105	Hs.279640	7175
BC031265	Hs.16529	23554
BC018036	Hs.441664	7102
BC010856	Hs.91586	10548
BC005173	Hs.529360	9777
AK024010	Hs.148970	57101
BC014317	Hs.129614	57393
BC064939	Hs.24135	55591
BC032820	Hs.2979	7032
BC017859	Hs.82961	7033
BC002637	Hs.467751	28951
BC006333	Hs.549094	9830
BC032297	Hs.485041	7726
BC013166	Hs.192103	54765
BC069416	Hs.287735	80128
BC005133	Hs.326586	83707
BC064961	Hs.513734	29767
BC050473	Hs.133892	7168
BC005323	Hs.182421	7125
X54163	Hs.512709	7137
BC012600	Hs.320890	7135
BC002653	Hs.533613	7139
BC022862	Hs.505784	10102
BX537702	Hs.137400	51807
BC062532	Hs.533059	203068
BC000619	Hs.279669	7283
BC071754	Hs.652	959
BC017818	Hs.525607	7127
BC030205	Hs.437322	7130
BC005352	Hs.271955	25816
BC003596	Hs.408312	7157
BC063030	Hs.437083	10641
BC007419	Hs.524763	53373
BC000567	Hs.6314	26470
BC027179	Hs.503555	7299
BC009717	Hs.38628	55954
BC002360	Hs.151787	9343
BC010066	Hs.9589	29979
BC020950	Hs.268963	51271; 114224
BC001384	Hs.469173	10713
BC039653	Hs.23935	124739
BC030562	Hs.501924	55031
BC024043	Hs.273397	9924
BC009737	Hs.170737	79876
BC001694	Hs.385986	7320
BC015997	Hs.129683	7321
BC066917	Hs.518773	7323
BC002775	Hs.462035	7326
BC006277	Hs.344165	7328
BC005193	Hs.524969	51569
BC036417	Hs.432503	127733
U62899	Hs.144197	7368
BC027176	Hs.410455	9094
BC041156	Hs.125605	8633
BC008392	Hs.101337	7352
BC031423	Hs.89781	7343
BC035975	Hs.164470	7369
BC001778	Hs.78601	7389
BC005970	Hs.422662	7443
BC063427	Hs.102910	57176
BC068490	Hs.109225	7412
BC000267	Hs.444279	65056; 340085
BC009794	Hs.53973	7432
BC014279	Hs.514199	10493
BC017052	Hs.194554	143187
BC019608	Hs.25348	6844
BC003570	Hs.66708	9341
BC036458	Hs.179080	140679
BC004490	Hs.25647	2353
BC022012	Hs.444212	7447
AF251033	Hs.274264	30813
BC033465	Hs.524368	7421
BC005046	Hs.2257	7448
BC012327	Hs.252229	4097
X66087	Hs.445898	4603
BC000141	Hs.202453	4609
BC011864	Hs.437922	4610
BC002712	Hs.25960	4613
BC038966	Hs.490366	673
BC039858	Hs.6906	5898
BC046106	Hs.2719	10406
BC044591	Hs.75850	8936
BC005226	Hs.446017	26118
BC008082	Hs.73291	55759
BC067094	Hs.521973	64743
AF083217	Hs.201375	10885
BC050352	Hs.465213	23335
BC032861	Hs.408453	7490
BC029854	Hs.128553	7472
AB060283	Hs.149504	7483
BC010363	Hs.105633	55180
BC013776	Hs.143728	8976
BC064379	Hs.194679	8839
BC003184	Hs.549163	51741
BC016620	Hs.475538	7508
BC065366	Hs.388927	7528
BC012905	Hs.443490	51360; 203411
AF104902	Hs.369063	7546
BC029507	Hs.415766	84107
BC035706	Hs.34871	9839
D28118	Hs.463569	7716
AF025770	Hs.50123	7743
BC000962	Hs.500775	7756
BC011018	Hs.406096	7763
BC013009	Hs.522684	9203
BC030148	Hs.436204	84364; 79096
BC009693	Hs.534052	7538
BC005010	Hs.503093	678
BC050683	Hs.270869	57862
BC056400	Hs.293798	80818
BC032869	Hs.116935	25925
D86966	Hs.79347	9640
BC000133	Hs.388024	7629
BC012530	Hs.155165	7542; 399904
BC072681	Hs.98322	56957
BC017434	Hs.196990	64429
BC040481	Hs.521264	11244
U54996	Hs.503886	9183

