Acc	UGCluster	LLID
BC027952	Hs.534347	6367
BC071834	Hs.514107	6348
BC016164	Hs.531668	6376
BC065191	Hs.550471	1486
BC017575	Hs.24529	1111
BC064527	Hs.414565	1192
BC035968	Hs.485489	53405
AY322549	Hs.129	886
BC015103	Hs.471034	10136
BC033639	Hs.1614	1138
BC008878	Hs.516711	79586
AF084545	Hs.443681	1462
X96753	Hs.513044	1464
BC015891	Hs.279704	54108
BC064900	Hs.511952	23466
BC010471	Hs.348308	10712
BC063841	Hs.283739	56893
BC062738	Hs.523262	9528
AF097535	Hs.204559	51430
BC049374	Hs.464737	414236
BC033920	Hs.523763	56834
BC036892	Hs.17546	64776
BC015968	Hs.437779	746
M91083	Hs.72925	8045
BC000024	Hs.505154	58516
BC016908	Hs.302977	57102
BC012594	Hs.533831	10208
BC013418	Hs.88523	221150
BC013174	Hs.528653	55745
AF132969	Hs.343173	51077
BC056255	Hs.525238	55017
BC024919	Hs.288981	80224
BC004259	Hs.48642	79696
BC013689	Hs.194035	9878
BC011783	Hs.101742	113000
BC016842	Hs.407368	26065
BC002420	Hs.516707	79137
BC012821	Hs.4973	27013
BC033859	Hs.472471	128866
BC069238	Hs.28608	85364
BC030539	Hs.473635	94104
BC012983	Hs.182626	25829
BC062989	Hs.414473	55362
BC011709	Hs.549281	221443
BC006105	Hs.436521	79969
AB112474	Hs.485075	54535
AK026765	Hs.534488	79992
BC056878	Hs.404186	60487
BC033182	Hs.238513	83590
BC034935	Hs.372003	23196
BC016698	Hs.415534	51510
BC016913	Hs.5719	9918
BC051881	Hs.61469	54440
BC063475	Hs.405774	1506
BC001492	Hs.129966	1271
BC015854	Hs.491351	1213
BC013577	Hs.31595	5010
BC070095	Hs.435675	53981
BC001403	Hs.528834	11051
BC039090	Hs.370040	26292; 81025
M14335	Hs.30054	2153
BC037941	Hs.162121	1314
BC006264	Hs.470457	22837
BC063463	Hs.299208	51805
BC011895	Hs.549157	51117
AF104253	Hs.466117	9441
BC000102	Hs.270437	10087
X14963	Hs.368921	1307
BC030649	Hs.112925	84570
BC068998	Hs.351327	54939
BC014960	Hs.211800	22796
BC013347	Hs.208680	25839
BC069339	Hs.283816	57369
BC039723	Hs.523744	64326
BC004302	Hs.190384	51138
BC033889	Hs.206500	2017
BC012567	Hs.112377	23584
BC018038	Hs.115617	1393
BC005895	Hs.96530	1353
BC013403	Hs.28326	1355
BC010933	Hs.534383	10063
BC010536	Hs.473417	1525
BC000991	Hs.461361	10428
BC001926	Hs.425633	548596; 1159
BC007462	Hs.334347	1158
BC013155	Hs.352671	9946
BC018184	Hs.153850	63922
BC010617	Hs.515134	57153
BC036391	Hs.309288	10659; 414196
BC001566	Hs.136164	64061
BC011016	Hs.16606	51076
BC035479	Hs.417050	8900
BC010958	Hs.376071	894
BC012349	Hs.1973	899
BC000196	Hs.79101	900
